Ticker,Year,Revenue (in B),EPS,Std
F,2018-01-01,160.34,0.93,0.017421
GM,2018-01-01,147.05,5.66,0.020181
TSLA,2018-01-01,21.46,-2.37,0.036817
F,2019-01-01,155.90,0.01,0.017286
GM,2019-01-01,137.24,4.62,0.015486
TSLA,2019-01-01,24.58,-1.14,0.030809
F,2020-01-01,127.14,-0.32,0.035382
GM,2020-01-01,122.49,4.36,0.038079
TSLA,2020-01-01,31.54,-0.98,0.07444
